[2025-05-25 10:45:34] [proyecto] sara: hola
[2025-05-25 10:49:12] [proyecto] pepe: hola sara
[2025-05-25 11:09:00] [proyecto] pepe: hola
[2025-05-25 11:09:06] [proyecto] pepe: como van?
